# Auto-generated offline OUI vendor mapping
# Generated by: tools/Import-OuiDataset.ps1
# Format: OUI,VENDOR
# OUI is 6 hex digits (first 3 bytes of a MAC)
# Source file: .\manuf

0001D6,manroland    manroland AG
0001D7,F5           F5 Inc.
0001D8,Inc.
0001D9,Inc.
0001DA,WINCOMM      WINCOMM Corporation
0001DB,FreecomTechn Freecom Technologies GmbH
0001DC,Activetelco  Activetelco
0001DD,AvailNetwork Avail Networks
0001DE,Inc.
0001DF,Ltd.
0001E0,Inc.
0001E1,Inc.
0001E2,AndoElectric Ando Electric Corporation
0001E3,Siemens      Siemens AG
0001E4,Inc.
0001E5,Inc.
0001E6,HewlettPacka Hewlett Packard
0001E7,HewlettPacka Hewlett Packard
0001E8,Inc.
0001E9,LittonMarine Litton Marine Systems B.V.
0001EA,Cirilium     Cirilium Corp.
0001EB,CCOM         C-COM Corporation
0001EC,EricssonGrou Ericsson Group
0001ED,SETA         SETA Corp.
0001EE,Ltd.
0001EF,CamtelTechno Camtel Technology Corp.
0001F0,Inc.
0001F1,Inc.
0001F2,Inc.
0001F3,Inc.
0001F4,Enterasys    Enterasys
0001F5,Erim         Erim S.A.
0001F6,AssociationM Association of Musical Electronics Industry
0001F7,Inc.
0001F8,TexioTechnol Texio Technology Corporation
0001F9,TeraGlobalCo TeraGlobal Communications Corp.
0001FA,Horoscas     Horoscas
0001FB,Inc.
0001FC,Keyence      Keyence Corporation
0001FD,Inc.
0001FE,DigitalEquip Digital Equipment Corporation
0001FF,Inc.
000200,Ltd.
000201,IFMElectroni IFM Electronic gmbh
000202,Ltd.
000203,Inc.
000204,BodmannIndus Bodmann Industries Elektronik GmbH
000205,Ltd.
000206,TelitalR&DDe Telital R&D Denmark A/S
000207,VisionGlobal VisionGlobal Network Corp.
000208,Inc.
000209,Ltd.
00020A,Gefran       Gefran Spa
00020B,Inc.
00020C,MetroOptix   Metro-Optix
00020D,Micronpccom  Micronpc.com
00020E,ECITelecom   ECI Telecom Ltd.
00020F,Aatr         Aatr
000210,Fenecom      Fenecom
000211,NatureWorldw Nature Worldwide Technology Corp.
000212,SierraCom    SierraCom
000213,SDEL         S.D.E.L.
000214,Dtvro        Dtvro
000215,CotasCompute Cotas Computer Technology A/B
000216,Inc
000217,Inc
000218,AdvancedScie Advanced Scientific Corp
000219,ParalonTechn Paralon Technologies
00021A,ZumaNetworks Zuma Networks
00021B,KollmorgenSe Kollmorgen-Servotronix
00021C,Inc.
00021D,DataGeneralC Data General Communication Ltd.
00021E,Simtel       Simtel S.R.L.
00021F,Aculab       Aculab PLC
000220,CanonFinetec Canon Finetech Inc.
000221,Ltd.
000222,Inc.
000223,ClickTV      ClickTV
000224,CCor         C-Cor
000225,OneStop      One Stop Systems
000226,Inc.
000227,ESDElectroni ESD Electronic System Design GmbH
000228,Ltd.
000229,Adtec        Adtec Corporation
00022A,AsoundElectr Asound Electronic
00022B,Inc.
00022C,Inc.
00022D,Agere        Agere Systems
00022E,TEACR&D      TEAC Corp. R& D
00022F,Ltd.
000230,IntersoftEle Intersoft Electronics
000231,IngersollRan Ingersoll-Rand
000232,Inc.
000233,Inc.
000234,Inc.
000235,ParagonNetwo Paragon Networks International
000236,INIT         INIT GmbH
000237,CosmoResearc Cosmo Research Corp.
000238,Inc.
000239,Visicom      Visicom
00023A,ZSKStickmasc ZSK Stickmaschinen GmbH
00023B,Ericsson     Ericsson
00023C,Ltd.
00023D,Inc
00023E,SeltaTelemat Selta Telematica S.p.a
00023F,CompalElectr Compal Electronics INC.
000240,Ltd.
000241,Amercom      Amer.com
000242,Videoframe   Videoframe Systems
000243,Ltd.
000244,SURECOMTechn SURECOM Technology Co.
000245,Ltd.
000246,Ltd.
000247,Ltd.
000248,Pilz         Pilz GmbH & Co.
000249,Ltd.
00024A,Inc
00024B,Inc
00024C,Inc.
00024D,MannesmanDem Mannesman Dematic Colby Pty. Ltd.
00024E,DatacardGrou Datacard Group
00024F,IPMDatacom   IPM Datacom S.R.L.
000250,Inc.
000251,Inc.
000252,Carrier      Carrier Corporation
000253,Inc.
000254,WorldGate    WorldGate
000255,IBM          IBM Corp
000256,Inc.
000257,Microcom     Microcom Corp.
000258,FlyingPacket Flying Packets Communications
000259,Ltd. IT Group
00025A,CatenaNetwor Catena Networks
00025B,CambridgeSil Cambridge Silicon Radio
00025C,Ltd.
00025D,CalixNetwork Calix Networks
00025E,HighTechnolo High Technology Ltd
00025F,NortelNetwor Nortel Networks
000260,Inc.
000261,Tilgin       Tilgin AB
000262,Ltd
000263,RPS          RPS S.p.A.
000264,AudioRampcom AudioRamp.com
000265,Virditech    Virditech Co. Ltd.
000266,Thermalogic  Thermalogic Corporation
000267,Inc.
000268,HarrisGovern Harris Government Communications
000269,Ltd
00026A,Ltd.
00026B,Ltd.
00026C,PhilipsCFT   Philips CFT
00026D,AdeptTelecom Adept Telecom
00026E,Inc.
00026F,Ltd.
000270,Ltd.
000271,Inc.
000272,Inc.
000273,CoriolisNetw Coriolis Networks
000274,TommyTechnol Tommy Technologies Corp.
000275,Inc.
000276,PrimaxElectr Primax Electronics Ltd.
000277,CashSystemes Cash Systemes Industrie
000278,Ltd.
000279,Ltd.
00027A,IOITechnolog IOI Technology Corporation
00027B,Inc.
00027C,Inc.
00027D,Inc
00027E,Inc
00027F,asktechnolog ask-technologies.com
000280,Inc.
000281,Madge        Madge Ltd.
000282,Inc.
000283,Inc.
000284,UKGridSoluti UK Grid Solutions Limited
000285,RiverstoneNe Riverstone Networks
000286,OccamNetwork Occam Networks
000287,Adapcom      Adapcom
000288,GlobalVillag Global Village Communication
000289,DNETechnolog DNE Technologies
00028A,AmbitMicrosy Ambit Microsystems Corporation
00028B,VDSL         VDSL Systems OY
00028C,MicrelSynerg Micrel-Synergy Semiconductor
00028D,Inc.
00028E,Inc.
00028F,Inc.
000290,Inc.
000291,Ltd.
000292,Inc.
000293,SolidData    Solid Data Systems
000294,Ltd.
000295,MavenirIpaUk Mavenir Ipa Uk Ltd
000296,. Ltd.
000297,CCORnet      C-COR.net
000298,Broadframe   Broadframe Corporation
000299,Inc.
00029A,StorageApps  Storage Apps
00029B,KreatelCommu Kreatel Communications AB
00029C,3Com         3Com
00029D,Merix        Merix Corp.
00029E,Ltd.
00029F,L3Communicat L-3 Communication Aviation Recorders
0002A0,Flatstack    Flatstack Ltd.
0002A1,WorldWidePac World Wide Packets
0002A2,Hilscher     Hilscher GmbH
0002A3,HitachiEnerg Hitachi Energy Switzerland Ltd
0002A4,Ltd.
0002A5,HewlettPacka Hewlett Packard
0002A6,Ltd.
0002A7,VivaceNetwor Vivace Networks
0002A8,AirLinkTechn Air Link Technology
0002A9,s.r.o.
0002AA,Ltd.
0002AB,Ltd.
0002AC,3PARdata     3PAR data
0002AD,HOYA         HOYA Corporation
0002AE,ScannexElect Scannex Electronics Ltd.
0002AF,Inc.
0002B0,Ltd.
0002B1,Ltd.
